2014 Form EIA-860 Data - Schedule 6Dcomma 'Cooling System Data',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility ID,Utility Name,Plant Code,Plant Name,State,Cooling ID,Cooling Status,Inservice Month,Inservice Year,Cooling Type 1,Cooling Type 2,Cooling Type 3,Cooling Type 4,Percent Dry Cooling,Cooling Water Source,Cooling Water Discharge,Water Source Code,Water Type Code,Intake Rate at 100% (Gallons per Minute),Chlorine Inservice Month,Chlorine Inservice Year,Pond Inservice Month,Pond Inservice Year,Pond Surface Area (Acres),Pond Volume (Acre Feet),Tower Inservice Month,Tower Inservice Year,Tower Type 1,Tower Type 2,Tower Type 3,Tower Type 4,Tower Water Rate (Gallons per Minute),Power Requirement (MW),Cost Total (Thousand Dollars),Cost Ponds (Thousand Dollars),Cost Towers (Thousand Dollars),Cost Chlorine Equipment (Thousand Dollars),Intake Distance Shore (Feet),Outlet Distance Shore (Feet),Intake Distance Surface (Feet),Outlet Distance Surface (Feet),Steam Plant Type
733,Appalachian Power Co,3775,Clinch River,VA,2,OP,12,1958,RI,,,, ,Clinch River,Clinch River,SW,FR,"7,181",12,1958, , , , ,12,1958,MW,,,,"109,964",0.185,982, ,973,8,5, ,5, ,1
733,Appalachian Power Co,3775,Clinch River,VA,3,OP,12,1961,RI,,,, ,Clinch River,Clinch River,SW,FR,"7,181",12,1961, , , , ,12,1961,MW,,,,"109,964",0.08,862, ,853,8,5, ,5, ,1
733,Appalachian Power Co,3776,Glen Lyn,VA,5,OP,6,1944,ON,,,, ,New River,New River,SW,FR,"86,176", , , , , , , , ,,,,, , ,166, , , ,,,10,10,1
733,Appalachian Power Co,3776,Glen Lyn,VA,6,OP,5,1957,ON,,,, ,New River,New River,SW,FR,"153,949", , , , , , , , ,,,,, , ,470, , , ,,,10,,1
733,Appalachian Power Co,3935,John E Amos,WV,1,OP,9,1971,RN,,,, ,Kanawha River,Kanawha River,SW,FR,"5,386", , , , , , ,9,1971,NW,,,,"247,306",6.5,"4,233", ,"4,233", ,75, ,5, ,1
733,Appalachian Power Co,3935,John E Amos,WV,2,OP,6,1972,RN,,,, ,Kanawha River,Kanawha River,SW,FR,"5,386", , , , , , ,6,1972,NW,,,,"247,306",6.5,"4,233", ,"4,233", ,75, ,5, ,1
733,Appalachian Power Co,3935,John E Amos,WV,3,OP,10,1973,RN,,,, ,Kanawha River,Kanawha River,SW,FR,"9,874", , , , , , ,10,1973,NW,,,,"598,292",13,"9,805", ,"9,805", ,, ,8, ,1
733,Appalachian Power Co,3936,Kanawha River,WV,1,OP,7,1953,ON,,,, ,Kanawha River,Kanawha River,SW,FR,"136,445", , , , , , , , ,,,,, , , , , , ,,170,15,,1
733,Appalachian Power Co,3936,Kanawha River,WV,2,OP,12,1953,ON,,,, ,Kanawha River,Kanawha River,SW,FR,"136,445", , , , , , , , ,,,,, , , , , , ,,170,15,,1
733,Appalachian Power Co,3938,Philip Sporn,WV,11,OP,1,1950,ON,,,, ,Ohio River,Ohio River,SW,FR,"100,089",2,1986, , , , , , ,,,,, , ,268, , ,86,28,,24,13,1
733,Appalachian Power Co,3938,Philip Sporn,WV,21,OP,7,1950,ON,,,, ,Ohio River,Ohio River,SW,FR,"100,089",2,1986, , , , , , ,,,,, , ,268, , ,86,28,,24,13,1
733,Appalachian Power Co,3938,Philip Sporn,WV,31,OP,8,1951,ON,,,, ,Ohio River,Ohio River,SW,FR,"100,089",2,1986, , , , , , ,,,,, , ,268, , ,86,28,,24,13,1
733,Appalachian Power Co,3938,Philip Sporn,WV,41,OP,2,1952,ON,,,, ,Ohio River,Ohio River,SW,FR,"100,089",2,1986, , , , , , ,,,,, , ,268, , ,86,28,,24,13,1
733,Appalachian Power Co,3938,Philip Sporn,WV,51,RE,12,1960,ON,,,, ,Ohio River,Ohio River,SW,FR,"320,914",2,1986, , , , , , ,,,,, , ,"1,077", , ,86,34,,24,13,1
733,Appalachian Power Co,6264,Mountaineer,WV,1,OP,9,1980,RN,,,, ,Ohio River,Ohio River,SW,FR,"10,772",9,1980, , , , ,9,1980,NW,,,,"599,638",13,"17,634", ,"17,519",115,290, ,19, ,1
733,Appalachian Power Co,55350,Dresden Energy Facility,OH,CLTWRS,OP,2,2012,RI,,,, ,Muskingum River,Muskingum River,SW,FR,"8,528",6,2013, , , , ,2,2012,MW,,,,"8,528",1.5,"3,700", ,"2,500", ,60,40,4,1,1
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,IA,CT1,OP,4,2009,RI,,,, ,Well,Mississippi River,GW,FR,"60,143",6,2008, , , , ,6,2008,MW,,,,"60,143",2.2,"3,500", ,"1,600",30, , , , ,1
772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,IA,NCT,OP,10,1988,RI,,,, ,Municipal,SDD of Cedar Rapids \ Cedar River,GW,FR,"39,946", , , , , , ,10,1989,MW,,,,"39,946",1,"1,500", ,10, , , , , ,1
772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,IA,SOUTH,OP,8,2001,RI,,,, ,Municipal,SDD of Cedar Rapids \ Cedar River,GW,FR,"147,000", , , , , , ,8,2001,MW,,,,"147,000",6,"12,000", ,"5,000", , , , , ,1
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,IL,CGCT,OP,6,2003,RI,,,, ,NWTP,SDD of Decatur \ Sangamon River,OT,OT,"60,143", , , , , , ,10,2004,MW,,,,"60,143",5,"5,340", ,"5,340", , , , , ,1
796,Arizona Electric Pwr Coop Inc,160,Apache Station,AZ,1,SB,11,1964,RI,,,, ,Wells,NA,GW,FR, , , , , , , ,6,1995,MW,,,,"60,143",1,"1,298", ,"1,180", , , , , ,1
796,Arizona Electric Pwr Coop Inc,160,Apache Station,AZ,2,OP,1,1979,RI,,,, ,Wells,NA,GW,FR, , , , , , , ,2,2009,MW,,,,"235,188",4,"7,293", ,"5,732", , , , , ,1
796,Arizona Electric Pwr Coop Inc,160,Apache Station,AZ,3,OP,9,1979,RI,,,, ,Wells,NA,GW,FR, , , , , , , ,2,2009,MW,,,,"235,188",4,"7,273", ,"5,669", , , , , ,1
803,Arizona Public Service Co,113,Cholla,AZ,1,OP,6,1962,RC,,,, ,Lake Wells,Lake,GW,FR,"56,104",6,1962,6,1962,360,"1,451", , ,,,,, , ,301,286, ,15,, ,15, ,1
803,Arizona Public Service Co,113,Cholla,AZ,2,OP,6,1978,RC,,,, ,Lake Wells,Lake,GW,FR,"130,161",6,1978,6,1962,360,"1,451", , ,,,,, , ,301,286, ,15,, ,15, ,1
803,Arizona Public Service Co,113,Cholla,AZ,3,OP,5,1980,RI,,,, ,Lake Wells,Lake,GW,FR,"2,662",5,1980, , , , ,5,1980,MW,,,,"130,161",1,434, ,412,22, , , , ,1
803,Arizona Public Service Co,113,Cholla,AZ,4,OP,6,1981,RI,,,, ,Lake Wells,Lake,GW,FR,"3,326",6,1981, , , , ,6,1981,MW,,,,"134,201",2,"1,439", ,"1,367",72, , , , ,1
803,Arizona Public Service Co,116,Ocotillo,AZ,1,OP,6,1960,RI,,,, ,Wells,Wells,GW,FR,"1,046",6,1960, , , , ,6,1960,MW,,,,"57,899",1,653, ,379,17, , , , ,1
803,Arizona Public Service Co,116,Ocotillo,AZ,2,OP,3,1960,RI,,,, ,Wells,Wells,GW,FR,"1,046",6,1960, , , , ,3,1960,MW,,,,"57,899",1,653, ,379,17, , , , ,1
803,Arizona Public Service Co,117,West Phoenix,AZ,CC1-3,OP,6,1974,RI,,,, ,Wells,Wells,GW,FR,"92,369",6,1974, , , , ,6,1974,MW,,,,"92,369",0.5,"2,634", ,"2,634", , , , , ,1
803,Arizona Public Service Co,117,West Phoenix,AZ,CC4,OP,6,2001,RI,,,, ,Wells,Wells,GW,FR,"42,000",6,2001, , , , ,6,2001,MW,,,,"42,190",0.34,"2,716", ,"2,716", , , , , ,1
803,Arizona Public Service Co,117,West Phoenix,AZ,CC5,OP,6,2003,RI,,,, ,Wells,Wells,GW,FR,"1,768",6,2003, , , , ,6,2003,MW,,,,"137,342",4.4,"4,621", ,"4,621", , , , , ,1
803,Arizona Public Service Co,118,Saguaro,AZ,1,RE,7,1954,RI,,,, ,Wells,Wells,GW,FR,952,7,1954, , , , ,7,1954,MW,,,,"70,466",0.373,873, ,415,10, , , , ,4
803,Arizona Public Service Co,118,Saguaro,AZ,2,RE,6,1955,RI,,,, ,Wells,Wells,GW,FR,952,6,1955, , , , ,6,1955,MW,,,,"70,466",0.373,608, ,380,10, , , , ,4
803,Arizona Public Service Co,2442,Four Corners,NM,1,RE,5,1963,RC,,,, ,SAN JUAN RIVER/MORGAN LAKE,MORGAN LAKE,SW,FR,"89,766",5,1963,12,1962,"1,275","39,000", , ,,,,, , ,995,679, ,26,, ,22, ,1
803,Arizona Public Service Co,2442,Four Corners,NM,2,RE,6,1963,RC,,,, ,SAN JUAN RIVER/MORGAN LAKE,MORGAN LAKE,SW,FR,"89,766",6,1963,12,1962,"1,275","39,000", , ,,,,, , ,995,679, ,26,, ,22, ,1
803,Arizona Public Service Co,2442,Four Corners,NM,3,RE,8,1964,RC,,,, ,SAN JUAN RIVER/MORGAN LAKE,MORGAN LAKE,SW,FR,"121,184",8,1964,12,1962,"1,275","39,000", , ,,,,, , ,"1,512",879, ,10,, ,22, ,1
803,Arizona Public Service Co,2442,Four Corners,NM,4,OP,7,1969,RC,,,, ,SAN JUAN RIVER/MORGAN LAKE,MORGAN LAKE,SW,FR,"408,885",7,1969,12,1962,"1,275","39,000", , ,,,,, , ,"3,551","2,956", ,16,"1,482", ,25, ,1
803,Arizona Public Service Co,2442,Four Corners,NM,5,OP,7,1970,RC,,,, ,SAN JUAN RIVER/MORGAN LAKE,MORGAN LAKE,SW,FR,"408,885",7,1970,12,1962,"1,275","39,000", , ,,,,, , ,"3,551","2,956", ,16,"1,482", ,25, ,1
803,Arizona Public Service Co,6008,Palo Verde,AZ,1,OP,1,1986,RI,,,, ,Phoenix Area Sewage Effluent,Evap Ponds,PD,BE,"554,500", , , , , , ,12,1987,MW,,,,"589,200",7.16,"47,527", ,"47,527", , , , , ,3
803,Arizona Public Service Co,6008,Palo Verde,AZ,2,OP,9,1986,RI,,,, ,Phoenix Area Sewage Effluent,Evap Ponds,PD,BE,"554,500", , , , , , ,12,1987,MW,,,,"589,200",7.16,"41,039", ,"41,039", , , , , ,3
803,Arizona Public Service Co,6008,Palo Verde,AZ,3,OP,1,1988,RI,,,, ,Phoenix Area Sewage Effluent,Evap Ponds,PD,BE,"554,500", , , , , , ,12,1987,MW,,,,"589,200",7.16,"44,039", ,"44,039", , , , , ,3
803,Arizona Public Service Co,55455,Red Hawk,AZ,CTWR-1,OP,7,2002,RI,,,, ,Municipal,none,PD,BE,"4,488",7,2002, , , , ,7,2002,MW,,,,"159,784",8,"4,000", ,"2,400","1,600", , ,14, ,1
803,Arizona Public Service Co,55455,Red Hawk,AZ,CTWR-2,OP,7,2002,RI,,,, ,Municipal,none,PD,BE,"4,488",7,2002, , , , ,7,2002,MW,,,,"159,784",8,"4,000", ,"2,400","1,600", , ,14,50,1
807,Arkansas Electric Coop Corp,202,Carl Bailey,AR,01,OP,7,1966,ON,OC,,, ,White River,White River,SW,FR,"83,609", , ,6,2003,3,8, , ,,,,, , ,"1,127",725, , ,100,,15,3,1
807,Arkansas Electric Coop Corp,203,McClellan (AR),AR,01,OP,5,1972,ON,OC,,, ,Ouachita River,Ouachita River,SW,FR,"40,844", , ,5,1972,3,16, , ,,,,, , ,"1,032",150, , ,20,10,8,,1
807,Arkansas Electric Coop Corp,55221,Harry L. Oswald,AR,COOLTW,OP,6,2002,RI,,,, ,Municipal,Arkansas River,GW,FR,"4,039", , , , , , ,6,2002,MW,,,,"128,366",1.5,"2,000", ,"2,000", , , , , ,1
807,Arkansas Electric Coop Corp,55714,Magnet Cove,AR,SN0415,OP,7,2005,RI,,,, ,Ouachita River,Ouachita River,SW,FR,"4,000", , , , , , ,7,2005,MW,,,,"3,456",1.8,"25,000", ,"15,000", ,50,40,15,,1
814,Entergy Arkansas Inc,167,Cecil Lynch,AR,2,RE,7,1949,RF,,,, ,Arkansas River,,SW,FR,"4,502", , , , , , ,7,1949,MW,,,,"83,034",1,281, , , ,50, ,20, ,4
814,Entergy Arkansas Inc,167,Cecil Lynch,AR,3,RE,6,1954,RF,,,, ,Arkansas River,,SW,FR,"4,502", , , , , , ,6,1954,MW,,,,"83,034",2,372, , , ,50, ,20, ,4
814,Entergy Arkansas Inc,168,Hamilton Moses,AR,1,RE,5,1951,RF,,,, ,L'Anquille River,,SW,FR,"1,346",5,1951, , , , ,5,1951,MW,,,,"97,845",1,464, , , ,25,"1,760",6,,4
814,Entergy Arkansas Inc,168,Hamilton Moses,AR,2,RE,5,1951,RF,,,, ,L'Anquille River,,SW,FR,"1,346",5,1951, , , , ,5,1951,MW,,,,"97,845",1, , , , ,25,"1,760",6,,4
814,Entergy Arkansas Inc,169,Harvey Couch,AR,1,RE,12,1943,RF,,,, ,Wells,,GW,FR,"33,662", , , , , , ,12,1943,MW,,,,"341,112",1,161, ,161, , , , , ,4
814,Entergy Arkansas Inc,169,Harvey Couch,AR,2,RE,8,1954,RF,,,, ,Wells,,GW,FR,"83,034", , , , , , ,8,1954,MW,,,,"920,104",2,428, ,428, , , , , ,4
814,Entergy Arkansas Inc,170,Lake Catherine,AR,1,RE,6,1949,ON,,,, ,Lake Catherine,Lake Catherine,SW,FR,"284,722",7,1984, , , , , , ,,,,, , ,254, , , ,90,,36,3,1
814,Entergy Arkansas Inc,170,Lake Catherine,AR,2,RE,6,1949,ON,,,, ,Lake Catherine,,SW,FR,"49,371",7,1984, , , , , , ,,,,, , ,254, , , ,90,,36,3,1
